name,sggCity,queryPoint
이인호,북구을,1
이형석,북구을,5
최경환,북구을,100
정윤,광산구갑,29
이용빈,광산구갑,57
김동철,광산구갑,100
심정우,광산구을,0
이용섭,광산구을,6
권은희,광산구을,54
박완수,창원시의창구,100
김기운,창원시의창구,40
한경수,창원시의창구,29
강기윤,창원시성산구,12
이재환,창원시성산구,4
노회찬,창원시성산구,100
이주영,창원시마산합포구,100
박남현,창원시마산합포구,19
이원희,창원시마산합포구,22
윤한홍,창원시마산회원구,0
하귀남,창원시마산회원구,100
안성오,창원시마산회원구,13
김성찬,창원시진해구,100
김종길,창원시진해구,73
최연길,창원시진해구,25
박대출,진주시갑,31
정영훈,진주시갑,13
이혁,진주시갑,15
김재경,진주시을,100
서소연,진주시을,4
강주열,진주시을,2
여상규,사천시남해군하동군,100
남명우,사천시남해군하동군,20
차상돈,사천시남해군하동군,53
홍태용,김해시갑,46
민홍철,김해시갑,100
최성근,김해시갑,25
이만기,김해시을,100
김경수,김해시을,14
이형우,김해시을,0
엄용수,밀양시의령군함안군창녕군,14
우일식,밀양시의령군함안군창녕군,1
조해진,밀양시의령군함안군창녕군,20
김한표,거제시,100
변광용,거제시,60
이길종,거제시,18
윤영석,양산시갑,74
송인배,양산시갑,100
홍순경,양산시갑,19
이장권,양산시을,32
서형수,양산시을,100
박인,양산시을,16
강석진,산청군함양군거창군합천군,100
권문상,산청군함양군거창군합천군,29
윤석준,산청군함양군거창군합천군,17
